Dataset,TargetType,Target,Methodology,Algorithm,Layer,ACCURACY,MCC
dataSubset500,gpcr,ionchannel,shallow,svm,Layer 1,0.6645491441679902,0.32050585998229114
dataSubset500,gpcr,kinase,shallow,svm,Layer 0,0.6610199400035291,0.3181334798789827
dataSubset500,gpcr,kinase,shallow,svm,Layer 1,0.6613728604199753,0.3189011841465857
dataSubset500,gpcr,nuclearreceptor,shallow,svm,Layer 1,0.6645491441679902,0.32050585998229114
dataSubset500,gpcr,protease,shallow,svm,Layer 1,0.6645491441679902,0.32050585998229114
dataSubset500,gpcr,transporter,shallow,svm,Layer 1,0.6645491441679902,0.32050585998229114
dataSubset500,gpcr,ionchannel,shallow,rf,Layer 1,0.6393153343920945,0.2779985373633643
dataSubset500,gpcr,kinase,shallow,rf,Layer 0,0.6334921475207341,0.27094545588382324
dataSubset500,gpcr,kinase,shallow,rf,Layer 1,0.6421386977236633,0.2848244239327696
dataSubset500,gpcr,nuclearreceptor,shallow,rf,Layer 1,0.6391388741838715,0.27787747507852284
dataSubset500,gpcr,protease,shallow,rf,Layer 1,0.6359625904358567,0.2727563042237634
dataSubset500,gpcr,transporter,shallow,rf,Layer 1,0.6382565731427563,0.27485458586672495
dataSubset500,gpcr,ionchannel,shallow,gb,Layer 1,0.646814893241574,0.2875899880628591
dataSubset500,gpcr,kinase,shallow,gb,Layer 0,0.6361390506440797,0.2734957267684497
dataSubset500,gpcr,kinase,shallow,gb,Layer 1,0.6500794070937004,0.2977804427027213
dataSubset500,gpcr,nuclearreceptor,shallow,gb,Layer 1,0.6459325922004588,0.2854129377169782
dataSubset500,gpcr,protease,shallow,gb,Layer 1,0.6456679018881242,0.285049946053376
dataSubset500,gpcr,transporter,shallow,gb,Layer 1,0.6471678136580201,0.287932175635821
dataSubset500,gpcr,kinase,fine-tuned,N/A,N/A,0.6404623257455444,0.28206258804819934
dataSubset500,gpcr,transporter,fine-tuned,N/A,N/A,0.6537850714663843,0.30233277419521987
dataSubset500,gpcr,nuclearreceptor,fine-tuned,N/A,N/A,0.6597847185459679,0.311568434127221
dataSubset500,gpcr,protease,fine-tuned,N/A,N/A,0.6527263102170461,0.2999816487876027
dataSubset500,gpcr,ionchannel,fine-tuned,N/A,N/A,0.6509617081348156,0.29380367346066916
dataSubset500,gpcr,kinase,freeze,N/A,N/A,0.6360508205399682,0.2618628385498716
dataSubset500,gpcr,transporter,freeze,N/A,N/A,0.6396682548085407,0.270876780672679
dataSubset500,gpcr,nuclearreceptor,freeze,N/A,N/A,0.6444326804305629,0.283286259361349
